  000154  hero
  000564  main
  000824  air360
  0025E4  airBlock
  0033A4  airBoltThrow
  0043A4  airDash
  005AE4  airForwardFlip
  007FE4  airH1
  009164  airH2
  00A3E4  airH3
  00B764  airImpale
  00D5A4  airImpaleLand
  00F5E4  airLightningLoop
  010BA4  airLightningStart
  0129A4  airRaiseTheDead
  014464  airThrowMiss
  0150A4  airUseHead
  015D24  airV1
  018064  balanceBeamCatch
  01BA64  balanceBeamPullUp
  01F2E4  balanceBeamPullUp2
  022B64  balanceWblendI
  0251A4  berAirEnter
  025DA4  berAirH1
  026D24  berAirH2
  027F24  berAirStab
  029024  berAirV2
  029BE4  berAirV2Land
  02B2E4  berserkEnter
  02C664  berserkExit
  02CEE4  berBlockExit
  02DD64  berBlockHit01
  02E764  berBlockIdle
  02F524  berBlockParry
  02FDE4  berComboH1
  0311E4  berComboH2
  0329E4  berComboH3
  0340E4  berComboH4
  035AA4  berComboStab
  036C34  pDGt
  037464  berComboV1
  038C24  berComboV2
  03A6A4  berComboV3
  03C1A4  berComboV4
  03DBA4  berFallN
  03E8A4  berJumpAir
  03F064  berJumpDoubleAir
  03FCA4  berLand
  040C64  berserkIdle
  042E54  apwwwwwwwp
  043924  berserkReact
  0446E4  block
  045824  block360
  0480E4  blockBackFlip
  04A1A4  blockBreak
  04B094  HhKA
  04B1A4  blockForwardFlip
  04DCA4  blockLauncher
  04F914  DqGAf
  04FCE4  blockLauncherB
  052264  blockReaction
  052E24  blockSlam
  0556E4  boltCharge
  0568E4  boltChargeIdle
  057B24  boltChargeTurnLeft
  058164  boltChargeTurnRight
  0587A4  boltLoop
  059BE4  boltPullout
  05AFA4  boltThrow
  05C424  boltThrowL
  05D624  boltTurnLeft
  05DA64  boltTurnRight
  05DEA4  brutal1
  05EDE4  brutal3
  0600A4  chestGrab
  061F64  chestOpen
  063124  combatFall
  064464  combatLand2
  065464  combo3A
  069924  combo3B
  06C6A4  combo3C
  070FD4  llMA
  0710E4  combo3D
  075824  combo3E
  078464  combo3F
  07C864  combo4A
  07EFA4  combo4B
  080DD4  pwwwwww
  081964  combo4C
  083394  YLYL
  083E64  combo4D
  086524  combo5A
  087FD4  datA
  0886A4  combo5B
  089D64  combo6A
  08B964  pwwwwww
  08C0E4  ACqA
  08C3E4  combo7A
  08EA54  MBqA
  08ED64  comboJump
  08FF24  comboLR2
  0945A4  comboLR3
  097D64  comboLR4
  09A7A4  crankIdle
  09C464  crankPickUpGround
  09DD64  crankPull
  09EF24  crankPullL
  09FFA4  crankPullR
  0A09D4  pwwwwww
  0A10A4  crankPushL
  0A2E24  crankPushR
  0A4E24  crankPush
  0A63E4  dash
  0A7424  dashMultiStab
  0A8764  death01
  0A9A64  death02
  0AB1E4  deathFall01
  0AE364  dismount1
  0AF5A4  dismount2
  0B08A4  evadeBack
  0B1B24  evadeFront
  0B2D64  evadeLeft
  0B3FA4  evadeRight
  0B5264  fallV
  0B5EA4  freezePose
  0B6424  frozenBreakout
  0B6E24  grab
  0B8A64  grabReject
  0BA0E4  headNukeSlam
  0BB524  headNukeStart
  0BCB24  highFallLand
  0BE4A4  hitAir
  0BF364  hitBack
  0C0064  hitBall
  0C1A64  hitBounce
  0C2CA4  hitFireball
  0C46A4  hitGetup
  0C52E4  hitGetupGround
  0C61A4  hitKnockdown
  0C7564  hitLand
  0C86E4  hitLie
  0C90E4  hitFront
  0C9DE4  hitLeft
  0CAA04  crSA
  0CAB24  hitRight
  0CB864  hitSpin
  0CC7A4  idleCombat
  0CDA24  idleCombat2
  0CEFA4  impaleSlamCharge
  0D07E4  4958JED
  0D27A4  jumpAir
  0D2FE4  jumpDoubleAir
  0D3E24  jumpDoubleWallL
  0D4664  jumpWall
  0D4FE4  KickBox1
  0D5EE4  KickBox2
  0D6D64  KickBox3
  0D8524  ladderDown
  0D9C64  ladderSlide
  0DAEA4  ladderUp
  0DC5E4  land
  0DCFA4  leverPull
  0E0024  leverPullUW
  0E4424  liftDoor1
  0E4CE4  liftDoor2
  0E76E4  liftDoor3
  0E86A4  LightningExit
  0E9A64  parry01
  0EA2E4  parry02
  0EB224  parryHitLeft
  0EBEE4  psentHead
  0ECB64  pull
  0EDD64  pullL
  0EEFA4  pullR
  0F0224  push
  0F1524  pushIdle
  0F3224  raiseTheDead
  0F4BE4  ropeDown
  0F6924  ropeHOH
  0F8164  ropeHOHA
  0F8FE4  ropeHOHgrab
  0FA524  ropeHOHI
  0FB8A4  ropeHOHR1
  0FC964  ropeIdle
  0FF264  ropePower01
  100864  ropeSlide
  101A04  pwwwwww
  1022A4  ropeSwingBACKtoMID
  1023F4  pwwwwww
  103424  ropeSwingFRNTtoMID
  104664  ropeSwingIdle
  105924  ropeSwingMIDtoBACK
  1068A4  ropeSwingMIDtoFRNT
  107864  ropeSwingStart
  108A24  ropeUp
  10A4E4  standIdle
  10BAE4  swim
  10D5E4  swimDash
  10E624  swimDashIdle
  1101E4  swimDashPU
  111F64  swimDie
  1145E4  swimDive
  114A64  swimDive1
  114FE4  swimGrab
  1170E4  swimHit
  118164  swimIdle
  11A924  tread
  11BCE4  treadswim
  11CF64  useHeadTurnLeft
  11D464  useHeadTurnRight
  11D964  wallBackI
  11F764  wallBackL
  120824  wallBackR
  1216E4  wallCatch
  123724  wallClimbAL
  1257E4  wallClimbALIdle
  126A64  wallClimbAR
  128AE4  wallClimbARIdle
  129D24  wallClimbATD
  12AF24  wallClimbATL
  12C7E4  wallClimbATR
  12E064  wallClimbATU
  12F924  wallClimbCL
  131264  wallClimbCR
  132BA4  wallFrontI
  134A64  wallFrontL
  135FA4  wallFrontR
  1376E4  wallGrabL
  138424  wallGrabR
  139164  wallGrabU
  139F64  wallHangCatch
  13ACE4  wallHangI
  13CFE4  wallHangL
  13E9A4  wallHangR
  140324  wallHitLeft
  140DA4  pwwwwwww
  141364  wallHitRight
  1421D4  7ewA
  1423A4  wallJabDown
  1439E4  wallJabLeft
  144EE4  wallJabRight
  146364  wallJabUp
  1478A4  wallJumpLeft
  1488E4  wallJumpRight
  149924  wallJumpUp
  14AB64  wallPullup
  14BF24  wallClimbIdle
